index,owner,repo,commit_sha,source
207,LLM360,Reasoning360,13158341d2a0dfe5f3bb80e7126ff21de0d16676,Own_Extracted_Dataset.xlsx
208,allenai,molmoact,bdb24ec61618c26f9a049965ff8e3d12f66b4ab4,Own_Extracted_Dataset.xlsx
209,shawn0728,ARES,5bee103fa7d09f84d41eb508b84ff0dc0c61ca5f,Own_Extracted_Dataset.xlsx
210,microsoft,openaivec,cd2760bc392cc82eebffcbd2ca81882a22860f85,Own_Extracted_Dataset.xlsx
211,MartinLeitgab,AISafetyIntervention_LiteratureExtraction,f22e5044877b75cea2cada24c19c0c3523fd4aaa,Own_Extracted_Dataset.xlsx
212,Granddyser,qwen3-vl-comfy-ui,45ba9bb312e844fed868bde23c4d28fbeb7a05a8,Own_Extracted_Dataset.xlsx
213,gabrii,Cursor-Azure-GPT-5,6c313ae1628c630fa9ce8a15e1e9516f8b2d591a,Own_Extracted_Dataset.xlsx
214,MikeWangWZHL,PAPO,2b376e467317cd27505e14e12cf39ef72b9b2300,Own_Extracted_Dataset.xlsx
215,LeonGuertler,UnstableBaselines,11f37beb377f9d17459895919c3d2c7df740fd08,Own_Extracted_Dataset.xlsx
216,Chapplication,chatty-friend,c562a1b66d23fe33af426f68bc1d6c946c7f4274,Own_Extracted_Dataset.xlsx
217,NVlabs,alpamayo,74750b0bd86605ced9faed9fe83434b07f95e9dc,Own_Extracted_Dataset.xlsx
218,ZJU-REAL,EasySteer,431e6a6a212d6f3282d4c4d1c3628398df1c3e2f,Own_Extracted_Dataset.xlsx
219,SqueezeAILab,MultipoleAttention,db65e51d582b9bcb89807b9d9397c3532d1099ef,Own_Extracted_Dataset.xlsx
220,Pro-GenAI,Index-RAG,496e726f0501e5947d3b63c604dd94dfe8461765,Own_Extracted_Dataset.xlsx
221,xai-org,xai-sdk-python,188e9f7008d48ef7aabae5dc05fd53d38f689b32,Own_Extracted_Dataset.xlsx
222,huggingface,transformers,b62e5b3e4060c07b0e595f670135d85bb51673fe,Own_Extracted_Dataset.xlsx
223,vllm-project,vllm,62be3670cb97e7196c30be26fe347d12d183429c,Own_Extracted_Dataset.xlsx
224,xuyang-liu16,VidCom2,ce46008b959c6715b8233ea1b9d1c063d22a4b2c,Own_Extracted_Dataset.xlsx
225,owadev777,EgoVLA_Release,92ebbd916f6bad4b79dc7d3efbb485d10f80b113,Own_Extracted_Dataset.xlsx
226,openvinotoolkit,openvino,030c1c404785dfee6916272a7c6ee1f5ee1d2c94,Own_Extracted_Dataset.xlsx
