project_id,files_touched,rules_touched,occurrences
epigen__CellWhisperer__a96b815e5f1f3e96a31e1a6907f01e9c288a2d42,5,3,10
erfanzar__EasyDeL__748550c8a2d7514557477de02a4b8053a41a90f4,26,5,39
fa8i__Agentify__cd8f88799a29a1b4f84f0036cbb7bad5345fb996,2,3,17
facebookresearch__matrix__16ecee48f3433878ac0495737ee1ecf4b3e02e59,5,5,15
fangyinc__DB-GPT__f317740d5557b56899d1a3e786ca7cc583fdd700,6,5,35
fendouai__babyagi_zh__bc907f1d94cd0a6b57db5f6e2b1d0ffbabf6b864,1,3,4
fereenwong__cdViews__5b64ba3ea44e1253317466c90914efa8b442062a,10,1,39
fighting41love__funNLP__master,0,0,0
fishaudio__fish-speech__main,1,1,1
flagos-ai__FlagGems__9c206de20eec4698a90c2974b30ed4a0413420a7,4,1,6
flagos-ai__FlagScale__528cea1680556b85f88b55170dd1d5de472d3373,10,5,18
gabacode__ChatBot-PDF__320476ac687db4ea0e9051b4b25ef6904d3a014d,1,1,1
galactic123__MFP__3e71b3b046618e9482ef741ef6be9da1f5f1dda7,4,1,18
getzep__graphiti__cb53cd1b08485855a0117a63e4fa363033f815f0,10,5,17
ggml-org__llama.cpp__f9ec8858edea4a0ecfea149d6815ebfb5ecc3bcd,17,4,64
gmum__FlySearch__bd3dcb62dbdf23c1cddd86975a57268bc1818c83,4,5,8
goetzrobin__MemGPT__0e8918e79935d24210991d78da09bf0e4c796d2e,3,4,15
gokayfem__ComfyUI_VLM_nodes__8bd18dd52bb4f09637f65def091908c557cc8b72,7,4,12
gpustack__gpustack__543c80bc5f80f820fb7a1cd805086798173f265e,2,5,5
gty111__gLLM__a17b1b0107343305cb2137c27b223301c9e89548,6,6,31
